,model,choosed num,nc 0.75_corr,nc 0.75_p,kmnc 10_corr,kmnc 10_p,snac NONE_corr,snac NONE_p,nbc NONE_corr,nbc NONE_p,tknc 1_corr,tknc 1_p,dsa 10_corr,dsa 10_p,dsa 1000_corr,dsa 1000_p,lsa 10_corr,lsa 10_p,lsa 1000_corr,lsa 1000_p,idc 6_corr,idc 6_p,idc 8_corr,idc 8_p
32,leNet_4,700,-0.06342511704391847,0.2734850778858584,0.0037103575145970066,0.9489724478556595,0.6486294847490767,3.317937603881672e-37,0.5878408209608301,2.866993870852311e-29,0.0009760989473430232,0.9865674865306079,0.3978545697947575,8.066813934196616e-13,0.06970596375394802,0.2286795788224869,0.10501007950370121,0.06933056899528574,0.10924795437370786,0.058759126582481655,-0.02865548467145508,0.621054019012725,-0.02865548467145508,0.621054019012725
33,leNet_4,750,-0.26472543861371434,3.331516698891503e-06,0.24479988400333358,1.804722240221041e-05,0.7201976274716345,3.0740683748359676e-49,0.6684781349928924,3.308858723074656e-40,-0.021634047666175698,0.7090054931447776,0.2214672229961048,0.00010970861713800407,0.21854877252115382,0.00013574156356902035,0.08066678261198276,0.16342968935194122,0.15620768495820522,0.006708814610230088,-0.08946953748175324,0.12203428486015472,-0.08946953748175324,0.12203428486015472
34,leNet_4,800,-0.1058639680631459,0.06708387883573287,-0.13404247037364228,0.020207008826785743,0.3576753204026911,1.752437956344355e-10,0.4474037312173515,3.587658116539079e-16,-0.4044645475889698,3.096114501637371e-13,0.20724789091828766,0.0003015459039207908,0.10351545651941085,0.0734108940572053,-0.008113425687771026,0.8887040019548379,0.033400664884957375,0.5644379807229128,-0.388603678381505,2.9746683727534006e-12,-0.388603678381505,2.9746683727534006e-12
35,leNet_4,850,0.31244295163157165,3.237409030521912e-08,0.00886720011318843,0.8784406606025137,0.737788822666918,8.588429526337206e-53,0.530816119755536,3.3079458590002863e-23,0.24622396981049582,1.6068128960182603e-05,0.22943088541693862,6.048749549799794e-05,0.13625084949225566,0.018220667368722205,0.0889150698032744,0.12437413573931343,0.13335369464700414,0.020863823329158964,0.0977722253727264,0.09094240841565476,0.0977722253727264,0.09094240841565476
36,leNet_4,900,0.29367547971571856,2.218368583755935e-07,-0.15037684050847205,0.009091886631946792,0.34930303627147125,4.910876665346214e-10,0.23052262512890276,5.565450082271979e-05,-0.11926503412779661,0.03897210060987382,0.2741436828079689,1.4272285611280653e-06,0.13783077015260578,0.016906059790976202,0.02700005178239454,0.6413678006699125,0.19744467319054745,0.0005828206006212751,0.0017196983228468965,0.9763368387880199,0.0017196983228468965,0.9763368387880199
37,leNet_4,950,0.4717305999469893,4.985820404957076e-18,-0.2581973224138846,5.88467652278467e-06,-0.02252831704607729,0.6975555982435493,-0.09541802879465724,0.09903398541794621,-0.16211417135585696,0.004880443712495679,0.16237435320417518,0.004811362959268594,0.15667726957963163,0.006543717801424743,0.0989255820881432,0.08717598893603255,0.1196053758555247,0.03841347296011693,-0.10274155465629951,0.07559922654805627,-0.10274155465629951,0.07559922654805627
38,leNet_5,50,0.15760976595006743,0.00622660865773727,0.0782688694286435,0.17635223589385962,0.6243415196703855,7.978453043597622e-34,0.6243415196703855,7.978453043597622e-34,0.052250506209676174,0.3671400591455399,0.385835687796906,4.3611298546635945e-12,0.21730108379530375,0.00014855059113201463,0.4150662302392623,6.372174329245764e-14,0.04951538147067541,0.39278616515798787,0.11218898219858651,0.052235176930888194,0.11218898219858651,0.052235176930888194
39,leNet_5,100,0.04551873771858418,0.432146658315214,0.020628379909059927,0.721960164553608,0.650553931379567,1.7366207530600125e-37,0.6321566231717916,7.027251215798068e-35,0.09962090660280981,0.08496652380879544,0.525492379071032,1.0678672335716208e-22,0.10602679873034787,0.06666229451325204,0.612560583221134,2.7365095243927006e-32,0.14735433995215846,0.010601634407745923,-0.009962613928456852,0.8635621953108933,-0.009962613928456852,0.8635621953108933
40,leNet_5,150,0.07317613095997294,0.20628329524743877,0.08167091595704318,0.1582344310118882,0.4806479189125994,9.529841850760767e-19,0.46613412797961623,1.3745551287911002e-17,0.11538539846694548,0.04583987090659592,0.5151468169643316,9.824203333364106e-22,0.1106896004019418,0.055481643405466345,0.5597041583745758,3.932116928664536e-26,0.11646903020297837,0.04382651490681428,0.021529911095662477,0.710343140701292,0.021529911095662477,0.710343140701292
41,leNet_5,200,0.030433143106641036,0.5995563644947264,0.056763704655715466,0.32715422755474144,0.4858940490797808,3.518777678843045e-19,0.4840780134501517,4.97757599889205e-19,0.05798830512679871,0.31680915867194154,0.5164097265839307,7.523202816425968e-22,0.12623740828510646,0.028806765031792404,0.5893437603256729,1.910572054663883e-29,0.15541039492648662,0.006997673857529888,-0.036542876295178744,0.5283612953888219,-0.036542876295178744,0.5283612953888219
42,leNet_5,250,-0.008564631343119182,0.8825580738063543,0.02152939507066338,0.710349771323529,0.5356444259367293,1.122334939346277e-23,0.5356444259367293,1.122334939346277e-23,0.05269388793157824,0.36308268203669597,0.5243101157976655,1.3814359605527828e-22,0.17817410228470454,0.001948258083147874,0.4974742909442262,3.668866944899377e-20,0.01810139783672304,0.754856519388589,-0.012243661739509549,0.8327397551513362,-0.012243661739509549,0.8327397551513362
43,leNet_5,300,0.020478473042400993,0.7238981331952878,-0.013562588947788324,0.8150307712316613,0.5671143625834794,6.2719306820029805e-27,0.542402310401816,2.400388064507895e-24,0.22695332090297834,7.296164235941255e-05,0.5722078126292209,1.7284866907352297e-27,0.0881427681300775,0.12769108763022516,0.48980401680443447,1.655896966846165e-19,0.022067974586948026,0.7034412922512969,nan,nan,nan,nan
44,leNet_5,350,-0.0677427231728422,0.24208778106382273,0.08716123611446197,0.13200495740104287,0.5996643934637258,1.1105281005075654e-30,0.5685140408511661,4.411157443213914e-27,0.1765856152833888,0.0021409866401812788,0.4812886915313823,8.44565227988644e-19,0.05191241532079229,0.3702527369759472,0.4561278249180202,8.049872650803004e-17,0.08767354633070755,0.12973952494294977,nan,nan,nan,nan
45,leNet_5,400,0.031036320996353294,0.5923389288445515,0.1567319958113966,0.0065247156162105725,0.48590904146831043,3.508686728231847e-19,0.4738220951576373,3.3967226968006633e-18,0.021198120019125428,0.7146109461221022,0.46797890458237457,9.859942345588161e-18,0.15961835665332832,0.005589871894719051,0.41234171797716107,9.617035060610534e-14,0.05373012532381012,0.3537095106183089,nan,nan,nan,nan
46,leNet_5,450,0.02570013484956332,0.6575094700169065,0.08487863731705078,0.14247084259609058,0.37949202984379204,1.0341053168880106e-11,0.4134550120219894,8.131945539806014e-14,0.027229683566482824,0.6385335268129326,0.5329192252668531,2.0701787592974094e-23,0.070910048707745,0.22072112676068986,0.4015989792112892,4.70158864898919e-13,0.08343549944220852,0.14940762590624923,nan,nan,nan,nan
47,leNet_5,500,0.0009015140757132654,0.9875937950174014,-0.0165892557278957,0.7747597882031348,0.36039867427863864,1.24517608990455e-10,0.3120643389515633,3.370125787935139e-08,0.050005235429336714,0.38811526327751833,0.4781029855157309,1.5357711502728724e-18,0.19265468501195254,0.0007953016317132558,0.33893579845540517,1.6878602178371993e-09,0.015489730971652411,0.7893259413088572,nan,nan,nan,nan
48,leNet_5,550,-0.011750828787015371,0.8393791767176729,0.012611965354308384,0.8277856984269883,0.37812327316237215,1.2428344719000203e-11,0.35669483242418554,1.9803030741798032e-10,0.06543094762521752,0.2585701353129296,0.3958769856842897,1.0699018320090048e-12,0.2890303387975289,3.4985970284215665e-07,0.36122558832736057,1.1217302961957995e-10,0.005430926375134112,0.9253678083475755,nan,nan,nan,nan
49,leNet_5,600,-0.011330567089982141,0.8450499393142047,0.03263057710738701,0.5734562109447513,0.4179810924557548,4.085484586736482e-14,0.4030551188731043,3.804256015280032e-13,0.04234699799366044,0.46493958073228153,0.46665284405106944,1.2522158981450265e-17,0.1821838509805472,0.001530144320336267,0.47103860881353815,5.6576022345381705e-18,-0.025008057966133694,0.6661692038249586,nan,nan,nan,nan
50,leNet_5,650,0.045461365180268845,0.43272774611573767,0.007791376056694052,0.8930947766622687,0.4276637699654405,9.045241977707433e-15,0.42416469620519043,1.5684961372888746e-14,-0.07302603354478174,0.20721797387500662,0.463394078994175,2.243214504060922e-17,0.06702628606871386,0.24711518681953862,0.32796235851175926,5.9386516969364945e-09,-0.027552234759094785,0.6345612429712855,nan,nan,nan,nan
51,leNet_5,700,-0.2026399877710039,0.0004126057890068651,-0.00644002702131687,0.9115528850382918,0.33517452950421395,2.612351504730034e-09,0.29840285554624524,1.3836678686711314e-07,0.002585892889688889,0.9644244898194891,0.395754071571438,1.0887788443399202e-12,0.13298265599212017,0.021225258399537605,0.28491974080011173,5.200629033106662e-07,-0.14555726121855625,0.011600898351513171,nan,nan,nan,nan
52,leNet_5,750,-0.028691827036081842,0.6206111969122426,-0.004693249446855605,0.9354812761260121,0.16038707540336133,0.005362082982355553,0.11550547419460434,0.04561302175140312,-0.031085924054732424,0.5917471632518059,0.40062171850743994,5.416522554887985e-13,0.27078415858230953,1.9382468008804402e-06,0.15041011985099145,0.009076385359186458,-0.029333790072857576,0.6128117123232086,nan,nan,nan,nan
53,leNet_5,800,0.06505119686633908,0.2613499533904023,0.14455604792361706,0.012192947424633227,0.3390679848816499,1.6619707629538178e-09,0.27829602842673257,9.721754607741584e-07,0.07883924857314112,0.1732117835207668,0.41419481057272317,7.271723038618884e-14,0.15516960205740415,0.007087072239789812,0.3067659508348564,5.8785192737100705e-08,0.0038138798437775366,0.9475507474166851,nan,nan,nan,nan
54,leNet_5,850,0.12617061878593228,0.028892154703583448,-0.046325814305347636,0.4240201078259375,0.2328281410897457,4.661815490612703e-05,0.27353527862451094,1.50902436369122e-06,-0.2685154605177503,2.377738380157099e-06,0.3928533601724879,1.6416687809238882e-12,0.12105253921491592,0.036113164507227465,0.15740976619811764,0.006293437899259276,0.02188412115724386,0.7057969177997886,nan,nan,nan,nan
55,leNet_5,900,-0.2448146958265845,1.8025497422583183e-05,0.283370277973404,6.028957760045601e-07,0.03722962827787185,0.5206350297748997,0.02201549634510713,0.7041133831301797,0.06871064798946527,0.23540997698026914,0.290870580185893,2.923684082812951e-07,0.1370634603331257,0.017533796516115672,0.0677806331351652,0.24182376710007403,-0.03303765743735792,0.568680568404249,nan,nan,nan,nan
56,leNet_5,950,0.03380492809832554,0.5597311362950935,0.20569571030631625,0.00033539608688931455,nan,nan,nan,nan,0.2598703822741001,5.093608852747048e-06,0.3873539799844221,3.537121871837131e-12,0.2531982518108529,9.005488644082768e-06,0.2011563865129366,0.000455776276316701,0.03699430533605348,0.5232759804393007,nan,nan,nan,nan
57,resnet20_cifar10,50,-0.037656962348850916,0.5158567323642177,-0.046303805139660904,0.4242405345566664,0.39154308621543543,1.973674608787028e-12,0.31345469719044616,2.9070378463801946e-08,0.050307999196807535,0.38524523157879104,0.06383950703569932,0.2703567767143745,0.09738215561866649,0.09224529889956389,0.2508827089087915,1.0934763715039311e-05,-0.0617042935327486,0.28673863070404265,0.1158853725003869,0.044901501702471314,0.1158853725003869,0.044901501702471314
58,resnet20_cifar10,100,0.06350983828286658,0.2728435087174366,0.2671864863392939,2.677821118459346e-06,0.35997229970482814,1.31389118900269e-10,0.24659250261594862,1.559054574206662e-05,0.13968625526527884,0.01546857021515958,0.194402358714955,0.0007106276146248047,0.08541870578226698,0.13993909815537262,0.3898267737894135,2.5091087249090554e-12,0.11431767168126661,0.047898932379545386,-0.008037839276878442,0.8897342353520157,-0.008037839276878442,0.8897342353520157
59,resnet20_cifar10,150,0.027272488775916193,0.6380057743161408,0.22492256884928258,8.495213200470927e-05,0.305607819064088,6.629023079247117e-08,0.2296904228109016,5.930397852025451e-05,0.12123521480031833,0.035831276536557835,0.3069104154648921,5.7908589393513154e-08,-0.06453556503843116,0.26515723754489945,0.41410566177952735,7.37046692456104e-14,0.2163891355203728,0.0001586198162273543,-0.016589063731049864,0.7747623250068056,-0.016589063731049864,0.7747623250068056
60,resnet20_cifar10,200,0.04237964854756268,0.4645951368138431,0.1244823175148518,0.031123772371270546,0.19961484020367792,0.0005050476480459885,0.1111001988442591,0.05457640577831693,0.1961224069794605,0.0006355002706592572,0.259265935918029,5.366937129669143e-06,0.10201008259413061,0.07771599104496321,0.4413589980729183,9.856538906056833e-16,0.1601096443654183,0.005443312092242065,-0.06545461468938985,0.25839756728394375,-0.06545461468938985,0.25839756728394375
